[2026-04-12T17:32:42.854353] ID: C581CA7A | Category: Infrastructure/Maintenance | Assigned To: Campus Maintenance Cell
[2026-04-12T17:32:43.866866] ID: 08000120 | Category: Anti-Ragging & Safety | Assigned To: Student Affairs / Security Office
[2026-04-12T17:32:44.883038] ID: 2F51A99C | Category: Mess & Food Quality | Assigned To: Mess Committee / Warden
[2026-04-12T17:32:45.898503] ID: A5CA9D6E | Category: Academic Issues | Assigned To: Academic Office / HOD
[2026-04-12T17:32:46.910570] ID: 87F3ACDE | Category: Bathroom & Hygiene | Assigned To: Housekeeping Department
[2026-04-12T17:32:47.926375] ID: DEEB1AA3 | Category: Other | Assigned To: General Administration
[2026-04-12T17:34:22.853872] ID: 4F35F3F5 | Category: Infrastructure/Maintenance | Assigned To: Campus Maintenance Cell
[2026-04-12T17:34:23.866647] ID: 4D1624C8 | Category: Anti-Ragging & Safety | Assigned To: Student Affairs / Security Office
[2026-04-12T17:34:24.878984] ID: 6FC14B52 | Category: Mess & Food Quality | Assigned To: Mess Committee / Warden
[2026-04-12T17:34:25.894910] ID: 8178FE1B | Category: Academic Issues | Assigned To: Academic Office / HOD
[2026-04-12T17:34:26.906593] ID: 19550DD6 | Category: Bathroom & Hygiene | Assigned To: Housekeeping Department
[2026-04-12T17:34:27.919062] ID: E35C9A0C | Category: Other | Assigned To: General Administration
[2026-04-12T17:48:09.687341] ID: 67DEA1E2 | Category: Other | Assigned To: General Administration
[2026-04-12T18:15:08.723736] ID: 12EAB529 | Category: Other | Assigned To: General Administration
[2026-04-12T18:15:10.977951] ID: C9C90AA8 | Category: Other | Assigned To: General Administration
[2026-04-12T18:15:13.230394] ID: AFA5CEDF | Category: Other | Assigned To: General Administration
[2026-04-12T18:15:15.394050] ID: 6DD7A529 | Category: Other | Assigned To: General Administration
[2026-04-12T18:15:17.549007] ID: 57A5A7DE | Category: Other | Assigned To: General Administration
[2026-04-12T18:15:19.708501] ID: 1CEE595E | Category: Other | Assigned To: General Administration
[2026-04-13T07:27:27.409110] ID: 6A3223CC | Category: Mess & Food Quality | Assigned To: Mess Committee / Warden
[2026-04-13T10:48:27.851780] ID: 6B71308C | Category: Bathroom & Hygiene | Assigned To: Housekeeping Department
[2026-04-13T11:03:53.345584] ID: F368E5B2 | Category: Mess & Food Quality | Assigned To: Mess Committee / Warden
[2026-04-13T11:06:48.208265] ID: 734E3671 | Category: Anti-Ragging & Safety | Assigned To: Student Affairs / Security Office
[2026-04-13T11:13:56.924645] ID: FA0B8059 | Category: Anti-Ragging & Safety | Assigned To: Student Affairs / Security Office
[2026-04-13T13:51:57.875410] ID: 3C6EE8AB | Category: Mess & Food Quality | Assigned To: Mess Committee / Warden
[2026-04-13T13:58:32.350320] ID: 6CBD2586 | Category: Other | Assigned To: General Administration
[2026-04-13T14:00:41.258007] ID: 56142165 | Category: Bathroom & Hygiene | Assigned To: Housekeeping Department
